|#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|Tests/ 1M pop|Population
1|1.0|USA|10288480||243768.0||6483420.0|3561292.0|18462.0|31018.0|735.0|157602857.0|475143.0|331695704.0
3|3.0|Brazil|5664115||162397.0||5064344.0|437374.0|8318.0|26580.0|762.0|21900000.0|102770.0|213098160.0
2|2.0|India|8555109|+1,245|126671.0|+18|7917373.0|511065.0|8944.0|6178.0|91.0|118572192.0|85622.0|1384826785.0
10|10.0|Mexico|967825|+5,887|95027.0|+219|715977.0|156821.0|2838.0|7479.0|734.0|2511207.0|19404.0|129413850.0
8|8.0|UK|1192013||49044.0||||1185.0|17526.0|721.0|35600586.0|523435.0|68013429.0
11|11.0|Italy|935104||41394.0||335074.0|558636.0|2749.0|15474.0|685.0|17374713.0|287519.0|60429824.0
5|5.0|France|1787324||40439.0||128614.0|1618271.0|4539.0|27360.0|619.0|17891276.0|273880.0|65325294.0
6|6.0|Spain|1388411||38833.0||||2863.0|29691.0|830.0|18072174.0|386477.0|46761284.0
14|14.0|Iran|682486||38291.0||520329.0|123866.0|5523.0|8089.0|454.0|5224252.0|61918.0|84373726.0
12|12.0|Peru|922333||34879.0||843600.0|43854.0|1010.0|27836.0|1053.0|4674263.0|141070.0|33134312.0
